20/30/40/50/60/70/80/90/100/110/120/130/140/150/160/170/180/190/200/210/220/230/240/250/260/270/280/290/300/310/320/330/340/350/360/370/380/390/400/410/420/430/440/450/460/470/480/490/500/510/520/530/540/550/560/570/580/590/600/610/620/630/640/650/660/670/680/690/700/710/720/730/740/750/760/770/780/790/
0,002/0,004/0,005/0,0072/0,008400000000000001/0,010400000000000001/0,013600000000000001/0,017/0,0198/0,0186/0,0226/0,0354/0,0382/0,04379999999999999/0,057199999999999994/0,05519999999999999/0,06/0,0654/0,0736/0,08220000000000001/0,09260000000000002/0,1044/0,10500000000000001/0,10739999999999998/0,1272/0,1368/0,13840000000000002/0,1572/0,163/0,17099999999999999/0,1916/0,1896/0,1936/0,2166/0,2454/0,2392/0,2048/0,2292/0,22440000000000002/0,258/0,3034/0,31900000000000006/0,32780000000000004/0,32619999999999993/0,40520000000000006/0,4024/0,4048/0,4166/0,37540000000000007/0,44279999999999997/0,484/0,5128/0,4904/0,4862/0,5286/0,5566000000000001/0,5464/0,5478/0,525/0,587/0,6224000000000001/0,7295999999999999/0,6602/0,6264000000000001/0,6654000000000001/0,743/0,7858/0,7986/0,8894/0,9970000000000001/0,8725999999999999/0,9242000000000001/0,9478/1,0084/1,0626000000000002/0,9158/1,08/1,1065999999999998/
0,0024000000000000002/0,0038/0,0048000000000000004/0,006/0,0068000000000000005/0,0082/0,0098/0,009600000000000001/0,011399999999999999/0,0126/0,012199999999999999/0,013599999999999998/0,014000000000000002/0,0162/0,013999999999999999/0,018800000000000004/0,020399999999999998/0,0216/0,020200000000000003/0,02/0,0232/0,028199999999999996/0,024/0,027000000000000003/0,028999999999999998/0,0304/0,0334/0,0318/0,0354/0,0372/0,0376/0,038000000000000006/0,0392/0,040400000000000005/0,0396/0,0402/0,039400000000000004/0,041400000000000006/0,041/0,046000000000000006/0,0458/0,047599999999999996/0,0482/0,0506/0,055200000000000006/0,0512/0,05319999999999999/0,0496/0,0566/0,0516/0,053000000000000005/0,058199999999999995/0,053200000000000004/0,055600000000000004/0,0644/0,0628/0,06420000000000001/0,0666/0,066/0,0666/0,0612/0,07060000000000001/0,0678/0,0722/0,06939999999999999/0,07060000000000001/0,06720000000000001/0,0724/0,0774/0,07420000000000002/0,08380000000000001/0,0694/0,07020000000000001/0,07520000000000002/0,07499999999999998/0,0794/0,091/0,08940000000000001/
0,0012000000000000001/0,0016/0,0014/0,002/0,0018000000000000002/0,0018000000000000002/0,0014/0,0021999999999999997/0,0022/0,0022/0,0027999999999999995/0,0026000000000000003/0,0028000000000000004/0,0024000000000000002/0,0028000000000000004/0,0027999999999999995/0,0028000000000000004/0,003/0,0028/0,0034000000000000002/0,0034000000000000002/0,0034000000000000002/0,0038/0,0033999999999999994/0,0034000000000000002/0,0036/0,0038/0,004/0,0036000000000000003/0,004600000000000001/0,0044/0,004/0,004/0,0044/0,0044/0,005200000000000001/0,004600000000000001/0,005/0,005399999999999999/0,005600000000000001/0,005200000000000001/0,0054/0,005399999999999999/0,005399999999999999/0,005600000000000001/0,005399999999999999/0,006/0,0064/0,006/0,0054/0,005/0,0062/0,006/0,0062/0,0066/0,0068000000000000005/0,006999999999999999/0,006/0,0066/0,0066/0,0066/0,0072/0,007000000000000001/0,0072/0,007200000000000001/0,009/0,0064/0,0078/0,006999999999999999/0,0076/0,0073999999999999995/0,0082/0,008/0,0078/0,0086/0,009000000000000001/0,008400000000000001/0,008/
